Game Title,Status,HLTB Main Story (Rounded),Time Played (Rounded),,,,,Backlog,,,
Command & Conquer™ Red Alert™ 3 - Uprising,Arcade,10 hrs,0.2 hrs,,,,,Fights in Tight Spaces,Backlog,10.3 hrs,0 hrs
Company of Heroes 2,Backlog,15.5 hrs,0 hrs,,,,,Figment 2: Creed Valley,Backlog,4.1 hrs,0 hrs
Condemned: Criminal Origins,Backlog,6.9 hrs,0 hrs,,,,,Final Fantasy III (3D Remake),Backlog,16.5 hrs,0 hrs
Content Warning,Multiplayer,2.2 hrs,0.6 hrs,,,,,Final Fantasy IV (3D Remake),Backlog,33.5 hrs,0 hrs
"Cook, Serve, Delicious!",Arcade,18.6 hrs,0.5 hrs,,,,,Fort Solis,Backlog,3.7 hrs,0 hrs
Coral Island,Arcade,56.4 hrs,0 hrs,,,,,FOTONICA,Backlog,1.8 hrs,0 hrs
Corn Kidz 64,Backlog,5 hrs,0 hrs,,,,,Frostpunk,Backlog,10.6 hrs,0 hrs
Coromon,Backlog,24.6 hrs,0 hrs,,,,,Garden Story,Backlog,10.6 hrs,0 hrs
Corpse Keeper,Arcade,0 hrs,0 hrs,,,,,Gears 5,Backlog,11.3 hrs,1.7 hrs
Counter-Strike 2,Arcade,120.2 hrs,210 hrs,,,,,Gears Tactics,Backlog,25.4 hrs,0 hrs
Craft The World,Arcade,33.5 hrs,0 hrs,,,,,Ghostbusters: The Video Game,Backlog,8.1 hrs,1.9 hrs
Crash Bandicoot™ N. Sane Trilogy,Backlog,15 hrs,0 hrs,,,,,Ghostrunner 2,Backlog,8.3 hrs,1.2 hrs
Crazy Taxi,Arcade,2.6 hrs,0 hrs,,,,,Grand Theft Auto III,Backlog,14.2 hrs,0 hrs
Creed: Rise to Glory™,Arcade,1.5 hrs,0 hrs,,,,,Grand Theft Auto: San Andreas,Backlog,30.3 hrs,0.1 hrs
Crimsonland,Arcade,4.1 hrs,0 hrs,,,,,Grand Theft Auto: Vice City,Backlog,17.2 hrs,0 hrs
Crimzon Clover  WORLD IGNITION,Arcade,1.1 hrs,0 hrs,,,,,Gravity Circuit,Backlog,4.8 hrs,0 hrs
Crow Country,Backlog,5.3 hrs,0.2 hrs,,,,,Griftlands,Backlog,11.6 hrs,0 hrs
